doc_id,doc_fname,doc_lame,specialization,hiredate,licenserenewaldate,phon,email,doc_gender
1,Alexia,McGorley,cardiology,07/12/1963,01/20/1999,873-374-3712,amcgorley0@google.cn,Female
2,Rooney,Standish-Brooks,infectious diseases,08/15/1980,03/22/1979,126-297-1166,rstandishbrooks1@people.com.cn,Male
3,Doy,Hyndson,psychiatry,11/09/1957,12/16/1952,213-116-8442,dhyndson2@bravesites.com,Male
4,Karina,Benning,emergency medicine,12/23/1955,03/17/1953,862-423-3801,kbenning3@newyorker.com,Female
5,Jdavie,Martusov,dermatology,07/28/1974,01/16/1986,238-680-8894,jmartusov4@rakuten.co.jp,Male
6,Porter,Boulstridge,wound care,05/22/1995,06/14/1965,649-866-8922,pboulstridge5@canalblog.com,Male
7,Marney,Bisatt,urology,11/24/1950,03/04/1996,992-151-2016,mbisatt6@icq.com,Female
8,Wolfgang,Dukes,orthopedics,04/02/1951,08/28/1965,148-343-0435,wdukes7@newsvine.com,Male
9,Agata,Mazzei,pulmonology,05/05/1966,03/02/1966,943-493-5929,amazzei8@eepurl.com,Female
10,Gussy,Burgane,cardiology,04/06/1975,02/06/1999,282-417-1906,gburgane9@princeton.edu,Female
11,Giffer,Rutherford,sleep medicine,11/11/1953,11/29/1971,980-294-2480,grutherforda@columbia.edu,Male
12,Emmalynn,Mc Queen,clinical psychology,05/01/1996,01/10/1982,654-908-0623,emcqueenb@gravatar.com,Female
13,Deena,Winder,urology,02/27/1995,05/05/1972,918-247-8196,dwinderc@forbes.com,Female
14,Jorry,Godfree,endocrinology,10/20/1978,07/02/1972,365-334-3870,jgodfreed@ebay.co.uk,Female
15,Stephi,McGann,speech therapy,10/16/1979,06/13/1985,283-413-2799,smcganne@yandex.ru,Female
16,Jessa,Swayte,sleep medicine,08/19/1962,02/19/1964,520-644-2602,jswaytef@jiathis.com,Female
17,Luce,Janousek,endocrinology,06/29/1979,04/16/1960,460-914-6442,ljanousekg@nba.com,Female
18,Dael,Lascell,urology,04/30/1966,06/26/1986,629-193-8311,dlascellh@angelfire.com,Female
19,Robbie,Skells,hematology,04/28/1964,09/16/1954,199-646-5772,rskellsi@chicagotribune.com,Male
20,Torey,Boxhill,dermatology,08/13/1958,03/26/1999,696-141-5611,tboxhillj@is.gd,Female
21,Kendell,Massy,gastroenterology,03/30/1984,06/13/1960,861-997-8942,kmassyk@adobe.com,Male
22,Ennis,Downham,nephrology,01/25/1985,01/06/1955,194-473-2571,edownhaml@yahoo.com,Male
23,Baxter,Tutill,rheumatology,07/30/1968,11/10/1971,269-391-8420,btutillm@bloglines.com,Male
24,Justino,Macklam,psychiatry,05/15/1965,02/11/1973,656-245-0947,jmacklamn@facebook.com,Male
25,Carilyn,Pardey,urology,11/21/1996,02/23/1966,570-810-6935,cpardeyo@youku.com,Female
26,Ivory,Duny,ophthalmology,06/17/1951,04/17/1994,616-660-6901,idunyp@naver.com,Female
